,logFC,AveExpr,t,P.Value,adj.P.Val,B
ROPN1L,1.56014372927424,3.73658934609669,7.07726626418582,1.50344662844205e-08,2.83499919236556e-06,9.5614590665803
MIR600HG,-1.64472354657814,3.15097778661386,-7.06991396682049,1.53914448061725e-08,2.88323183720177e-06,9.5389301333625
CD300A,1.01115590028079,8.30461138936958,7.06851876490187,1.54601436088245e-08,2.88323183720177e-06,9.53465451453853
CCDC120,-0.860626394060962,2.65457453622303,-7.06621423296321,1.55742938374656e-08,2.88864853241124e-06,9.52759193501094
SPATA20P1,1.51839005796827,-0.435155251200634,7.05765666088383,1.60056503403576e-08,2.95252056441531e-06,9.50136268204068
KCNJ15,1.63912748251066,8.33554368581747,7.05554538855604,1.61139088120842e-08,2.95642320486358e-06,9.49489076134884
CCRL2,1.2361092858804,2.70863408167727,7.05156535488327,1.63199990130057e-08,2.97813659408301e-06,9.48268946019051
TRPM2,1.28414386499979,4.84575411949224,7.04973462681535,1.64156847760455e-08,2.97957846346812e-06,9.47707675483722
CARMIL2,-0.982024282674939,5.59766867269052,-7.04464554714043,1.66846501850196e-08,3.01228934351029e-06,9.46147325243528
ALPL,2.10510189096393,9.1671045331266,7.03278710810879,1.73287235562783e-08,3.10620247040717e-06,9.42510735743357
DCAF4,-0.87184883656646,2.65162837739389,-7.03172077761988,1.73878519055259e-08,3.10620247040717e-06,9.42183679638447
IL24,-1.21251795232405,1.21983342735444,-7.02893389180904,1.75433461480673e-08,3.11757201548534e-06,9.41328871772229
AC239367.3,-1.62676002072443,-2.29568230354762,-7.02594574204846,1.77116249728755e-08,3.13108320223615e-06,9.40412271521917
RAB32,1.37149225888208,5.40964875582193,7.00903809348979,1.86948517360648e-08,3.28777542811145e-06,9.35224777301422
SLC5A10,-1.13417192267372,1.39765532904363,-7.00311584276367,1.9052085585621e-08,3.33332932446984e-06,9.334072896468
AL031777.2,1.75503917528514,0.594137481236472,7.00007196005638,1.92383589720583e-08,3.34865836015182e-06,9.32473055836363
CLEC5A,1.59411167650623,2.68040090279464,6.98760564844246,2.00205658751117e-08,3.45999464632164e-06,9.28646222473718
HAUS5,-0.854012612849779,3.48716822718996,-6.98664937371703,2.0081873352347e-08,3.45999464632164e-06,9.28352627983738
CTC1,-0.578308928723945,6.59523554662776,-6.98438575155187,2.02277496890992e-08,3.46752666640103e-06,9.27657628694636
TCF7,-1.5436491978899,7.59844939646549,-6.9798920651139,2.05205066247658e-08,3.50003535606934e-06,9.2627783227976
SCN1B,1.40150652923085,2.68284171378893,6.97724993105307,2.06946240169451e-08,3.51208464191575e-06,9.25466496532673
CAMKK2,0.789687621851922,7.53126751675345,6.97211901189278,2.1037010779886e-08,3.55242895468104e-06,9.23890782843428
EVL,-0.93246760618977,8.32889487194901,-6.96924155870866,2.123151196048e-08,3.56752464832976e-06,9.23007036238354
MSTO2P,-0.753449452385081,1.86433796692952,-6.96460889289117,2.15484651741917e-08,3.60294583715475e-06,9.21584100246281
MTERF4,-0.712607782675409,4.83237757508934,-6.96272201780035,2.16789198814585e-08,3.60698969910031e-06,9.21004501078409
RNF149,1.03573384125521,8.97217374483541,6.9574934406804,2.20445795315024e-08,3.63843546718995e-06,9.1939829607292
CARD6,1.05655803232329,4.93545784242349,6.95695893055601,2.20823082387935e-08,3.63843546718995e-06,9.19234085944467
PLIN4,1.7333415905884,5.1036310106666,6.94242000289774,2.31338415131522e-08,3.79327946202614e-06,9.14766783158215
GK,1.32325618150334,5.30855782197797,6.93775820463381,2.34815613778832e-08,3.82938774451654e-06,9.1333408779717
ANKS6,-0.996154996466972,2.77151893277688,-6.93645509832931,2.35796959107877e-08,3.82938774451654e-06,9.12933583488183
NRDC,0.764412907832892,7.47463241588819,6.92847010865292,2.41901053401154e-08,3.90981216882952e-06,9.10479193811622
GUCY2C,1.4558930680054,-0.835916411315456,6.92289643106132,2.4625579067838e-08,3.95185442257104e-06,9.08765742590039
ALPK1,1.21036370465277,6.9479642714284,6.92216787638556,2.46830810672636e-08,3.95185442257104e-06,9.08541756959044
AC087672.2,2.22129870678005,-0.336197805106919,6.9188733295564,2.49447977576702e-08,3.96751181969312e-06,9.07528845273998
PITPNM2,-1.12482539890429,4.54875504237126,-6.91762142884677,2.5044978185897e-08,3.96751181969312e-06,9.07143929276173
PRCP,0.822885997708919,7.03259484147527,6.91619922861906,2.51592775158969e-08,3.96751181969312e-06,9.06706640161993
GLIPR2,1.19593891193271,8.32227646887976,6.91509430406559,2.52484400758268e-08,3.96751181969312e-06,9.0636689621455
PLXNA3,-0.985331890563853,4.39015663495135,-6.90667763487235,2.593814226804e-08,4.02510487052271e-06,9.03778675296911
